log_entry,log_level
"17/06/09 18:43:07 INFO broadcast.TorrentBroadcast: Reading broadcast variable 6596 took 3 ms",INFO
"17/06/08 15:08:19 INFO executor.Executor: Finished task 24.0 in stage 973.0 (TID 43799). 2087 bytes result sent to driver",INFO
"17/06/08 20:24:21 INFO executor.CoarseGrainedExecutorBackend: Got assigned task 412924",INFO
"17/06/09 10:42:54 INFO executor.CoarseGrainedExecutorBackend: Got assigned task 3501",INFO
"17/06/07 15:11:30 INFO python.PythonRunner: Times: total = 41， boot = -63， init = 104， finish = 0",INFO
"17/06/08 20:56:27 INFO executor.CoarseGrainedExecutorBackend: Got assigned task 551135",INFO
"17/03/28 18:13:20 INFO storage.MemoryStore: Block broadcast_4_piece241 stored as bytes in memory (estimated size 4.0 MB， free 2002.7 MB)",INFO
"17/06/08 11:32:08 INFO python.PythonRunner: Times: total = 41， boot = 21， init = 20， finish = 0",INFO
"17/06/09 18:09:10 INFO broadcast.TorrentBroadcast: Started reading broadcast variable 3559",INFO
"17/06/09 18:01:01 INFO python.PythonRunner: Times: total = 41， boot = 2， init = 38， finish = 1",INFO
